fractal = parity n position (accelerable interval)
Parity is Even or Odd
Even n = starts with rules ij^n
Odd n = starts with rules j^n
position: position in fractal, represented as (L[LR]*)|End

# big steps | # A(1,c) steps | # A(a,c) steps:  A(1, c); fractal, fractal
888 | 16791881 | 398464965:  A(1, 923076820); Even 18 LLR 923475278 939865296, Odd 18 End 697356841 1162261425
889 | 16796882 | 398628064:  A(1, 923475278); Even 18 LLR 923475278 939865296, Odd 18 End 697356841 1162261425
920 | 17507439 | 416824167:  A(1, 965534530); Even 18 L 965571020 1101089762, Odd 18 End 697356841 1162261425
921 | 17507938 | 416839896:  A(1, 965571076); Even 18 L 965571020 1101089762, Odd 18 End 697356841 1162261425
946 | 20703794 | 494587847:  A(1, 1148660154); Even 18 LRL 1148865866 1174343138, Odd 18 End 697356841 1162261425
947 | 20706368 | 494673209:  A(1, 1148865926); Even 18 LRL 1148865866 1174343138, Odd 18 End 697356841 1162261425
1016 | 23418569 | 569439531:  A(1, 1329011366); Even 18 LRR 1329080128 1354578064, Odd 19 LL 1274118167 1338528559
1017 | 23419431 | 569468415:  A(1, 1329080201); Even 18 LRR 1329080128 1354578064, Odd 19 LL 1274118167 1338528559
1066 | 24447401 | 597683207:  A(1, 1394694550); Even 18 End 1394713718 2324522888, Odd 19 LLR 1385212943 1409797971
1067 | 24447641 | 597691572:  A(1, 1394713772); Even 18 End 1394713718 2324522888, Odd 19 LLR 1385212943 1409797971
1108 | 25304743 | 620533883:  A(1, 1448301906); Even 18 End 1394713718 2324522888, Odd 19 L 1448356555 1651634669
1109 | 25305477 | 620557343:  A(1, 1448356556); Even 18 End 1394713718 2324522888, Odd 19 L 1448356555 1651634669
1134 | 30531987 | 747456932:  A(1, 1722991003); Even 18 End 1394713718 2324522888, Odd 19 LRL 1723298825 1761514733
1135 | 30535812 | 747585600:  A(1, 1723298912); Even 18 End 1394713718 2324522888, Odd 19 LRL 1723298825 1761514733
1176 | 32161658 | 790034799:  A(1, 1822039495); Even 18 End 1394713718 2324522888, Odd 19 LR 1822125999 1921289317
1177 | 32162827 | 790072023:  A(1, 1822126032); Even 18 End 1394713718 2324522888, Odd 19 LR 1822125999 1921289317
1218 | 35099320 | 865070372:  A(1, 1993517255); Even 18 End 1394713718 2324522888, Odd 19 LRR 1993620217 2031867123
1219 | 35100701 | 865114545:  A(1, 1993620314); Even 18 End 1394713718 2324522888, Odd 19 LRR 1993620217 2031867123
1308 | 36715996 | 908449819:  A(1, 2092061105); Even 18 End 1394713718 2324522888, Odd 19 End 2092070599 3486784357
1309 | 36716115 | 908454034:  A(1, 2092070687); Even 18 End 1394713718 2324522888, Odd 19 End 2092070599 3486784357
1324 | 43023722 | 1052267293:  A(1, 2417689603); Even 19 LLL 2418904784 2469029404, Odd 19 End 2092070599 3486784357
1325 | 43038929 | 1052765017:  A(1, 2418904789); Even 19 LLL 2418904784 2469029404, Odd 19 End 2092070599 3486784357
1350 | 44825745 | 1105432827:  A(1, 2547899484); Even 19 LL 2548236372 2677057164, Odd 19 End 2092070599 3486784357
1351 | 44829822 | 1105572924:  A(1, 2548236440); Even 19 LL 2548236372 2677057164, Odd 19 End 2092070599 3486784357
1376 | 48485291 | 1200160795:  A(1, 2770027746); Even 19 LLR 2770425924 2819595986, Odd 19 End 2092070599 3486784357
1377 | 48490127 | 1200326184:  A(1, 2770425941); Even 19 LLR 2770425924 2819595986, Odd 19 End 2092070599 3486784357
1420 | 50540753 | 1254963730:  A(1, 2896676783); Even 19 L 2896713148 3303269382, Odd 19 End 2092070599 3486784357
1421 | 50541229 | 1254979547:  A(1, 2896713214); Even 19 L 2896713148 3303269382, Odd 19 End 2092070599 3486784357
1462 | 59710500 | 1487483309:  A(1, 3446391668); Even 19 LRL 3446597686 3523029510, Odd 19 End 2092070599 3486784357
1463 | 59712946 | 1487568857:  A(1, 3446597779); Even 19 LRL 3446597686 3523029510, Odd 19 End 2092070599 3486784357
1576 | 67724313 | 1716334755:  A(1, 3987171556); Even 19 LRR 3987240470 4063734288, Odd 20 LL 3822354583 4015585775
1577 | 67725139 | 1716363855:  A(1, 3987240482); Even 19 LRR 3987240470 4063734288, Odd 20 LL 3822354583 4015585775
1658 | 70689759 | 1800820924:  A(1, 4184122156); Even 19 End 4184141236 6973568754, Odd 20 LLR 4155638911 4229394007
1659 | 70689986 | 1800829204:  A(1, 4184141294); Even 19 End 4184141236 6973568754, Odd 20 LLR 4155638911 4229394007
1726 | 73178054 | 1869699776:  A(1, 4345015331); Even 19 End 4184141236 6973568754, Odd 20 L 4345069747 4954904099
1727 | 73178754 | 1869723304:  A(1, 4345069782); Even 19 End 4184141236 6973568754, Odd 20 L 4345069747 4954904099
1768 | 87481904 | 2232494832:  A(1, 5169588349); Even 19 End 4184141236 6973568754, Odd 20 LRL 5169896555 5284544291
1769 | 87485574 | 2232624681:  A(1, 5169896591); Even 19 End 4184141236 6973568754, Odd 20 LRL 5169896555 5284544291
1836 | 92171642 | 2359850085:  A(1, 5466292047); Even 19 End 4184141236 6973568754, Odd 20 LR 5466378081 5763868043
1837 | 92172749 | 2359887342:  A(1, 5466378145); Even 19 End 4184141236 6973568754, Odd 20 LR 5466378081 5763868043
1904 | 100640227 | 2584837920:  A(1, 5980757739); Even 19 End 4184141236 6973568754, Odd 20 LRR 5980860729 6095601459
1905 | 100641541 | 2584882415:  A(1, 5980860812); Even 19 End 4184141236 6973568754, Odd 20 LRR 5980860729 6095601459
